iter	Passed	Remaining
352	491	900
353	492	898
354	493	896
355	495	895
356	496	894
357	497	892
358	498	890
359	500	888
360	501	887
361	502	886
362	504	884
363	505	882
364	506	881
365	507	879
366	509	878
367	510	876
368	511	875
369	512	873
370	514	871
371	515	870
372	516	868
373	517	866
374	518	864
375	520	863
376	521	862
377	523	861
378	524	859
379	525	857
380	526	855
381	527	854
382	529	852
383	530	851
384	531	849
385	532	847
386	534	846
387	535	844
388	536	842
389	538	841
390	539	839
391	540	838
392	541	836
393	542	834
394	543	832
395	544	831
396	545	829
397	547	827
398	548	825
399	549	824
400	550	823
401	552	821
402	553	819
403	554	818
404	555	816
405	557	815
406	558	813
407	559	811
408	560	810
409	562	809
410	563	807
411	565	806
412	566	805
413	568	804
414	570	803
415	571	802
416	573	801
417	575	801
418	576	800
419	579	799
420	581	799
421	583	798
422	585	797
423	587	797
424	588	796
425	590	795
426	591	794
427	593	793
428	595	793
429	598	792
430	600	792
431	602	792
432	605	792
433	607	792
434	610	792
435	611	791
436	614	791
437	615	790
438	617	789
439	619	788
440	621	787
441	623	787
442	625	786
443	628	786
444	630	786
445	632	786
446	634	785
447	637	785
448	639	784
449	641	784
450	644	784
451	646	783
452	647	782
453	650	781
454	652	781
455	654	780
456	656	779
457	658	779
458	660	778
459	662	778
460	664	777
461	667	776
462	669	776
463	672	776
464	674	775
465	676	774
466	678	773
467	680	773
468	682	773
469	684	772
470	687	771
471	689	771
472	691	770
473	693	770
474	696	769
475	700	770
476	701	769
477	703	768
478	706	767
479	708	767
480	711	767
481	714	767
482	717	767
483	720	768
484	723	768
485	727	768
486	728	767
487	731	767
488	734	767
489	736	766
490	739	766
491	741	765
492	743	764
493	744	762
494	746	761
495	748	760
496	750	759
497	752	758
498	754	757
499	756	756
500	758	755
501	760	754
502	762	753
503	764	752
504	767	751
505	768	750
506	770	748
507	771	747
508	773	746
509	775	744
510	777	743
511	779	742
512	781	742
513	783	740
514	785	739
515	787	738
516	789	737
517	791	736
518	794	735
519	796	734
520	797	733
521	799	732
522	801	731
523	803	729
524	805	728
525	807	728
526	810	727
527	813	726
528	815	725
529	817	725
530	819	724
531	822	723
532	823	721
533	825	720
534	827	719
535	829	718
536	831	716
537	833	715
538	835	714
539	838	714
540	840	712
541	841	711
542	843	710
543	845	708
544	847	707
545	850	707
546	852	706
547	855	705
548	856	703
549	859	703
550	861	701
551	864	701
552	866	700
553	868	699
554	870	698
555	873	697
556	874	695
557	877	694
558	879	694
559	882	693
560	884	692
561	886	691
562	889	690
563	891	689
564	894	688
565	896	687
566	899	686
567	902	686
568	904	685
569	907	684
570	909	683
571	911	682
572	913	681
573	915	679
574	917	678
575	919	676
576	922	676
577	924	674
578	926	673
579	928	672
580	930	671
581	932	670
582	935	669
583	938	668
584	940	667
585	943	666
586	946	665
587	949	665
588	952	664
589	954	663
590	957	662
591	960	661
592	963	660
593	965	660
594	967	658
595	970	657
596	971	656
597	974	654
598	975	653
599	978	652
600	981	651
601	983	650
602	985	649
603	987	647
604	989	645
605	991	644
606	994	643
607	996	642
608	998	641
609	1001	640
610	1003	638
611	1005	637
612	1008	636
613	1010	635
614	1012	633
615	1015	633
616	1017	631
617	1019	630
618	1022	629
619	1025	628
620	1027	626
621	1029	625
622	1030	623
623	1031	621
624	1033	620
625	1035	618
626	1037	617
627	1039	615
628	1041	614
629	1043	613
630	1046	611
631	1048	610
632	1050	608
633	1051	607
634	1053	605
635	1054	603
636	1056	602
637	1058	600
638	1061	599
639	1063	598
640	1065	596
641	1067	595
642	1069	593
643	1070	592
644	1072	590
645	1074	588
646	1076	587
647	1078	585
648	1080	584
649	1081	582
650	1083	580
651	1084	579
652	1086	577
653	1088	575
654	1091	574
655	1093	573
656	1094	571
657	1096	569
658	1098	568
659	1100	567
660	1102	565
661	1105	564
662	1107	562
663	1109	561
664	1110	559
665	1112	557
666	1114	556
667	1117	555
668	1119	554
669	1121	552
670	1123	550
671	1125	549
672	1127	547
673	1129	546
674	1131	544
675	1133	543
676	1135	541
677	1137	540
678	1140	538
679	1141	537
680	1143	535
681	1145	533
682	1147	532
683	1149	531
684	1152	529
685	1154	528
686	1156	527
687	1158	525
688	1160	523
689	1162	522
690	1165	521
691	1168	520
692	1170	518
693	1171	516
694	1173	515
695	1176	513
696	1178	512
697	1181	511
698	1183	509
699	1185	508
700	1187	506
701	1190	505
702	1192	504
703	1195	502
704	1197	500
705	1199	499
706	1201	497
707	1203	496
708	1205	494
709	1207	493
710	1210	491
711	1212	490
712	1214	488
713	1216	487
714	1218	485
715	1221	484
716	1223	482
717	1225	481
718	1227	479
719	1229	478
720	1232	476
721	1234	475
722	1236	473
723	1238	472
724	1240	470
725	1241	468
726	1244	467
727	1246	465
728	1249	464
729	1251	463
730	1253	461
731	1254	459
732	1255	457
733	1257	455
734	1259	454
735	1261	452
736	1263	450
737	1265	449
738	1266	447
739	1268	445
740	1269	443
741	1271	442
742	1273	440
743	1275	438
744	1277	437
745	1279	435
746	1280	433
747	1282	432
748	1283	430
749	1285	428
750	1287	426
751	1289	425
752	1291	423
753	1293	421
754	1295	420
755	1296	418
756	1298	416
757	1300	415
758	1301	413
759	1304	411
760	1306	410
761	1308	408
762	1310	406
763	1312	405
764	1314	403
765	1316	402
766	1318	400
767	1320	398
768	1322	397
769	1324	395
770	1325	393
771	1328	392
772	1331	390
773	1334	389
774	1335	387
775	1337	386
776	1339	384
777	1341	382
778	1343	381
779	1346	379
780	1348	378
781	1350	376
782	1351	374
783	1354	373
784	1355	371
785	1358	369
786	1360	368
787	1362	366
788	1364	364
789	1366	363
790	1368	361
791	1370	360
792	1372	358
793	1375	356
794	1376	355
795	1378	353
796	1380	351
797	1382	349
798	1384	348
799	1386	346
800	1388	345
801	1390	343
802	1392	341
803	1395	340
804	1397	338
805	1399	336
806	1401	335
807	1403	333
808	1405	331
809	1408	330
810	1410	328
811	1413	327
812	1415	325
813	1418	324
814	1421	322
815	1423	321
816	1427	319
817	1429	318
818	1432	316
819	1435	315
820	1438	313
821	1440	311
822	1443	310
823	1447	309
824	1450	307
825	1453	306
826	1456	304
827	1459	303
828	1462	301
829	1464	300
830	1466	298
831	1469	296
832	1473	295
833	1476	293
834	1478	292
835	1480	290
836	1483	288
837	1485	287
838	1489	285
839	1492	284
840	1493	282
841	1496	280
842	1498	279
843	1500	277
844	1503	275
845	1505	274
846	1507	272
847	1510	270
848	1513	269
849	1515	267
850	1518	265
851	1520	264
852	1522	262
853	1524	260
854	1526	258
855	1529	257
856	1531	255
857	1533	253
858	1535	252
859	1537	250
860	1539	248
861	1540	246
862	1542	244
863	1544	243
864	1546	241
865	1547	239
866	1548	237
867	1549	235
868	1550	233
869	1551	231
870	1553	230
871	1555	228
872	1556	226
873	1558	224
874	1559	222
875	1561	221
876	1562	219
877	1564	217
878	1565	215
879	1566	213
880	1567	211
881	1569	209
882	1570	208
883	1572	206
884	1573	204
885	1575	202
886	1576	200
887	1577	199
888	1579	197
889	1580	195
890	1582	193
891	1583	191
892	1584	189
893	1585	188
894	1587	186
895	1588	184
896	1589	182
897	1590	180
898	1591	178
899	1593	177
900	1594	175
901	1595	173
902	1596	171
903	1598	169
904	1599	167
905	1600	166
906	1602	164
907	1603	162
908	1604	160
909	1606	158
910	1607	157
911	1608	155
912	1609	153
913	1611	151
914	1612	149
915	1613	147
916	1614	146
917	1615	144
918	1616	142
919	1617	140
920	1618	138
921	1619	137
922	1620	135
923	1621	133
924	1622	131
925	1623	129
926	1624	127
927	1625	126
928	1627	124
929	1628	122
930	1629	120
931	1630	118
932	1631	117
933	1632	115
934	1633	113
935	1634	111
936	1636	110
937	1637	108
938	1638	106
939	1639	104
940	1640	102
941	1642	101
942	1643	99
943	1645	97
944	1646	95
945	1647	94
946	1649	92
947	1650	90
948	1651	88
949	1652	86
950	1653	85
951	1654	83
952	1655	81
953	1656	79
954	1657	78
955	1659	76
956	1660	74
957	1661	72
958	1662	71
959	1663	69
960	1665	67
961	1666	65
962	1667	64
963	1668	62
964	1669	60
965	1670	58
966	1671	57
967	1673	55
968	1674	53
969	1675	51
970	1677	50
971	1678	48
972	1679	46
973	1681	44
974	1682	43
975	1684	41
976	1685	39
977	1687	37
978	1688	36
979	1689	34
980	1690	32
981	1692	31
982	1693	29
983	1694	27
984	1696	25
985	1697	24
986	1699	22
987	1701	20
988	1704	18
989	1706	17
990	1707	15
991	1709	13
992	1710	12
993	1712	10
994	1714	8
995	1717	6
996	1719	5
997	1722	3
998	1723	1
999	1724	0
